---[Core]---
[Info] FileManager initialized
[Info] KeyReleaseEvent: key=4 mod=0
[Info] OpenFileEvent: files=1
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=3
[Info] KeyReleaseEvent: key=4 mod=0
[Info] OpenFileEvent: files=3
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=3
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=3
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=3
[Info] KeyReleaseEvent: key=4 mod=0
[Info] KeyReleaseEvent: key=4 mod=3
[Info] QuitEvent

---[RenderBackend]---
[Info] {  91.03 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.03 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.07 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.07 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.11 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.11 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.14 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.14 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.17 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.17 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.20 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.20 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.23 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.23 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.26 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.26 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.29 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.29 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.34 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.34 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.37 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.37 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.40 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.40 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  91.42 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[SCROLL]
[Info] {  93.00 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  93.00 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  93.07 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[SCROLL]
[Info] {  93.36 s} SDL_EVENT_KEY_DOWN:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  93.36 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[LCTRL + SCROLL]
[Info] {  93.40 s} SDL_EVENT_KEY_UP:  SDL_KEY[Left Ctrl] | SDL_MOD[SCROLL]
[Info] {105.04 s} SDL_QUIT Event detected

---[Backend]---
